month,collection_20_21,collection_19_20,collection_18_19,state
August,108,117,NA,Meghalaya[edit]
September,100,106,NA,Meghalaya[edit]
October,117,113,NA,Meghalaya[edit]
November,120,117,NA,Meghalaya[edit]
December,106,123,108,Meghalaya[edit]
January,NA,128,104,Meghalaya[edit]
February,146.5,157,129,Meghalaya[edit]
March,151.97,133,127,Meghalaya[edit]
April,NA,NA,NA,Mizoram[edit]
May,NA,NA,NA,Mizoram[edit]
June,24,24,NA,Mizoram[edit]
July,16,19,NA,Mizoram[edit]
August,12,28,NA,Mizoram[edit]
September,17,29,NA,Mizoram[edit]
October,32,18,NA,Mizoram[edit]
November,17,17,NA,Mizoram[edit]
December,25,21,13,Mizoram[edit]
January,NA,24,26,Mizoram[edit]
February,21.06,25,22,Mizoram[edit]
March,34.93,33,50,Mizoram[edit]
April,NA,NA,NA,Nagaland[edit]
May,NA,NA,NA,Nagaland[edit]
June,32,20,NA,Nagaland[edit]
July,25,23,NA,Nagaland[edit]
August,31,27,NA,Nagaland[edit]
September,29,21,NA,Nagaland[edit]
October,30,25,NA,Nagaland[edit]
November,30,23,NA,Nagaland[edit]
December,38,31,17,Nagaland[edit]
January,NA,32,17,Nagaland[edit]
February,34.83,25,20,Nagaland[edit]
March,45.48,39,46,Nagaland[edit]
April,NA,NA,NA,Odisha[edit]
May,NA,NA,NA,Odisha[edit]
June,2694,2923,NA,Odisha[edit]
July,2348,2494,NA,Odisha[edit]
August,2348,2497,NA,Odisha[edit]
September,2384,2015,NA,Odisha[edit]
October,2419,1994,NA,Odisha[edit]
November,2528,2347,NA,Odisha[edit]
December,2860,2383,2347,Odisha[edit]
January,NA,2504,2338,Odisha[edit]
February,3340.57,2790.16,2374,Odisha[edit]
March,3285.29,2633,2626,Odisha[edit]
April,NA,NA,NA,Punjab[edit]
May,NA,NA,NA,Punjab[edit]
June,1323,1248,NA,Punjab[edit]
July,1188,1271,NA,Punjab[edit]
August,1139,1255,NA,Punjab[edit]
September,1194,1133,NA,Punjab[edit]
October,1376,1189,NA,Punjab[edit]
November,1396,1375,NA,Punjab[edit]
December,1353,1290,1162,Punjab[edit]
January,NA,1340,1216,Punjab[edit]
February,1299.37,1229,1100,Punjab[edit]
March,1361.85,1181,1166,Punjab[edit]
April,NA,NA,NA,Rajasthan[edit]
May,NA,NA,NA,Rajasthan[edit]
June,2774,2683,NA,Rajasthan[edit]
July,2797,2699,NA,Rajasthan[edit]
August,2582,2550,NA,Rajasthan[edit]
September,2647,2253,NA,Rajasthan[edit]
October,2966,2425,NA,Rajasthan[edit]
November,3130,3071,NA,Rajasthan[edit]
December,3135,2713,2456,Rajasthan[edit]
January,NA,3030,2776,Rajasthan[edit]
February,3223.7,2932,2676,Rajasthan[edit]
March,3351.79,2820,3132,Rajasthan[edit]
April,NA,NA,NA,Sikkim[edit]
May,NA,NA,NA,Sikkim[edit]
June,346,193,NA,Sikkim[edit]
July,186,201,NA,Sikkim[edit]
August,147,163,NA,Sikkim[edit]
September,106,209,NA,Sikkim[edit]
October,177,186,NA,Sikkim[edit]
November,223,157,NA,Sikkim[edit]
December,225,214,150,Sikkim[edit]
January,NA,194,176,Sikkim[edit]
February,222.35000000000002,183,145,Sikkim[edit]
March,213.66,189,160,Sikkim[edit]
April,NA,NA,NA,Tamil Nadu[edit]
May,NA,NA,NA,Tamil Nadu[edit]
June,4976,5881,NA,Tamil Nadu[edit]
July,4635,6084,NA,Tamil Nadu[edit]
August,5243,5973,NA,Tamil Nadu[edit]
September,6454,5616,NA,Tamil Nadu[edit]
October,6901,6109,NA,Tamil Nadu[edit]
November,7084,6449,NA,Tamil Nadu[edit]
December,6905,6422,5415,Tamil Nadu[edit]
January,NA,6703,6201,Tamil Nadu[edit]
February,7008.21,6427,5974,Tamil Nadu[edit]
March,7579.18,6178,6941,Tamil Nadu[edit]
April,NA,NA,NA,Telangana[edit]
May,NA,NA,NA,Telangana[edit]
June,3276,3166,NA,Telangana[edit]
July,2876,3163,NA,Telangana[edit]
August,2793,3059,NA,Telangana[edit]
September,2796,2854,NA,Telangana[edit]
October,3383,3230,NA,Telangana[edit]
November,3175,3349,NA,Telangana[edit]
December,3543,3420,3014,Telangana[edit]
January,NA,3787,3195,Telangana[edit]
February,3636.44,3667,3460,Telangana[edit]
March,4166.42,3563,3897,Telangana[edit]
April,NA,NA,NA,Tripura[edit]
May,NA,NA,NA,Tripura[edit]
June,65,58,NA,Tripura[edit]
July,48,49,NA,Tripura[edit]
August,43,58,NA,Tripura[edit]
September,50,52,NA,Tripura[edit]
October,57,54,NA,Tripura[edit]
November,58,51,NA,Tripura[edit]
December,74,59,48,Tripura[edit]
January,NA,56,52,Tripura[edit]
February,63.25,63,46,Tripura[edit]
March,87.9,67,64,Tripura[edit]
April,NA,NA,NA,Uttar Pradesh[edit]
May,NA,NA,NA,Uttar Pradesh[edit]
June,5194,5366,NA,Uttar Pradesh[edit]
July,5099,5422,NA,Uttar Pradesh[edit]
August,5098,4975,NA,Uttar Pradesh[edit]
September,5075,5073,NA,Uttar Pradesh[edit]
October,5471,5103,NA,Uttar Pradesh[edit]
November,5528,5679,NA,Uttar Pradesh[edit]
December,5937,5489,4957,Uttar Pradesh[edit]
January,NA,5698,5485,Uttar Pradesh[edit]
February,5996.620000000001,5776,5112,Uttar Pradesh[edit]
March,6265.01,5294,5548,Uttar Pradesh[edit]
April,NA,NA,NA,Uttarakhand[edit]
May,NA,NA,NA,Uttarakhand[edit]
June,895,1232,NA,Uttarakhand[edit]
July,988,1289,NA,Uttarakhand[edit]
August,1006,941,NA,Uttarakhand[edit]
September,1065,1017,NA,Uttarakhand[edit]
October,1272,1153,NA,Uttarakhand[edit]
November,1286,1280,NA,Uttarakhand[edit]
December,1246,1213,1055,Uttarakhand[edit]
January,NA,1257,1146,Uttarakhand[edit]
February,1181.1299999999999,1281,1237,Uttarakhand[edit]
March,1303.57,1195,1451,Uttarakhand[edit]
April,NA,NA,NA,West Bengal[edit]
May,NA,NA,NA,West Bengal[edit]
June,3128,3514,NA,West Bengal[edit]
July,3010,3586,NA,West Bengal[edit]
August,3053,3503,NA,West Bengal[edit]
September,3393,3255,NA,West Bengal[edit]
October,3738,3263,NA,West Bengal[edit]
November,3747,3460,NA,West Bengal[edit]
December,4114,3748,3230,West Bengal[edit]
January,NA,3747,3495,West Bengal[edit]
February,4334.98,3942,3490,West Bengal[edit]
March,4386.79,3582,3841,West Bengal[edit]
April,NA,NA,NA,Andaman and Nicobar Islands[edit]
May,NA,NA,NA,Andaman and Nicobar Islands[edit]
June,54,21,NA,Andaman and Nicobar Islands[edit]
July,18,22,NA,Andaman and Nicobar Islands[edit]
August,13,30,NA,Andaman and Nicobar Islands[edit]
September,19,19,NA,Andaman and Nicobar Islands[edit]
October,19,32,NA,Andaman and Nicobar Islands[edit]
November,23,25,NA,Andaman and Nicobar Islands[edit]
December,22,30,22,Andaman and Nicobar Islands[edit]
January,NA,30,35,Andaman and Nicobar Islands[edit]
February,23.259999999999998,36,25,Andaman and Nicobar Islands[edit]
March,25.66,39,28,Andaman and Nicobar Islands[edit]
April,NA,NA,NA,Chandigarh[edit]
May,NA,NA,NA,Chandigarh[edit]
June,159,158,NA,Chandigarh[edit]
July,137,156,NA,Chandigarh[edit]
August,139,160,NA,Chandigarh[edit]
September,141,157,NA,Chandigarh[edit]
October,152,157,NA,Chandigarh[edit]
November,141,165,NA,Chandigarh[edit]
December,158,168,143,Chandigarh[edit]
January,NA,195,159,Chandigarh[edit]
February,148.5,172,147,Chandigarh[edit]
March,165.26999999999998,153,162,Chandigarh[edit]
April,NA,NA,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
May,NA,NA,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
June,192,252,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
July,207,240,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
August,215,262,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
September,240,214,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
October,290,213,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
November,298,246,NA,Dadra and Nagar Haveli and Daman and Diu[edit]
December,263,248,206,Dadra and Nagar Haveli and Daman and Diu[edit]
January,NA,282,274,Dadra and Nagar Haveli and Daman and Diu[edit]
February,237.7,239,231,Dadra and Nagar Haveli and Daman and Diu[edit]
March,291.78,264,277,Dadra and Nagar Haveli and Daman and Diu[edit]
April,NA,NA,NA,Jammu and Kashmir[edit]
May,NA,NA,NA,Jammu and Kashmir[edit]
June,325,322,NA,Jammu and Kashmir[edit]
July,298,363,NA,Jammu and Kashmir[edit]
August,326,302,NA,Jammu and Kashmir[edit]
September,368,282,NA,Jammu and Kashmir[edit]
October,377,313,NA,Jammu and Kashmir[edit]
November,360,363,NA,Jammu and Kashmir[edit]
December,318,409,293,Jammu and Kashmir[edit]
January,NA,371,331,Jammu and Kashmir[edit]
February,329.89,316,306,Jammu and Kashmir[edit]
March,351.61,276,388,Jammu and Kashmir[edit]
April,NA,NA,NA,Ladakh[edit]
May,NA,NA,NA,Ladakh[edit]
June,7,0,NA,Ladakh[edit]
July,7,0,NA,Ladakh[edit]
August,5,0,NA,Ladakh[edit]
September,9,0,NA,Ladakh[edit]
October,15,0,NA,Ladakh[edit]
November,9,NA,NA,Ladakh[edit]
December,8,0,NA,Ladakh[edit]
January,NA,NA,NA,Ladakh[edit]
February,9.06,0,NA,Ladakh[edit]
March,13.67,0.8400000000000001,NA,Ladakh[edit]
April,NA,NA,NA,Lakshadweep[edit]
May,NA,NA,NA,Lakshadweep[edit]
June,1,1,NA,Lakshadweep[edit]
July,2,2,NA,Lakshadweep[edit]
August,0,1,NA,Lakshadweep[edit]
September,1,2,NA,Lakshadweep[edit]
October,1,2,NA,Lakshadweep[edit]
November,0,2,NA,Lakshadweep[edit]
December,1,1,4,Lakshadweep[edit]
January,NA,3,1,Lakshadweep[edit]
February,0.46,2,3,Lakshadweep[edit]
March,1.54,1.34,1,Lakshadweep[edit]
April,NA,NA,NA,National Capital Territory of Delhi[edit]
May,NA,NA,NA,National Capital Territory of Delhi[edit]
June,3249,3595,NA,National Capital Territory of Delhi[edit]
July,2629,3406,NA,National Capital Territory of Delhi[edit]
August,2880,3517,NA,National Capital Territory of Delhi[edit]
September,3146,3386,NA,National Capital Territory of Delhi[edit]
October,3211,3484,NA,National Capital Territory of Delhi[edit]
November,3413,3995,NA,National Capital Territory of Delhi[edit]
December,3451,3698,3146,National Capital Territory of Delhi[edit]
January,NA,3967,3525,National Capital Territory of Delhi[edit]
February,3727.46,3835,3422,National Capital Territory of Delhi[edit]
